z = 116.743

:                  x     v     b      a       c       :=
July      27 9    0     0     58.5   0     0.173
July      27 10   0     0     58.5   0     0.17306
July      27 11   0     0     58.5   0     0.17314
July      27 12   0     0     58.5   0     0.18994
July      27 13   0     0     58.5   0     0.18992
July      27 14   0     0     58.5   0     0.19
July      27 15   0     0     58.5   0     0.19
July      27 16   0     0     58.5   0     0.18994
July      27 17   0     5.5   53     0     0.18992
July      27 18   0     0     53     7.5   0.19023
July      27 19   0     0     53     7.5   0.19106
July      27 20   0     0     53     7.5   0.19078
July      27 21   0     0     53     7.5   0.17505
July      27 22   0     0     53     7.5   0.18162
July      27 23   3.5   0     56.5   7.5   0.17317
July      27 24   7.5   0     64     7.5   0.17307
July      28 1    0     0     64     7.5   0.20232
July      28 2    0     0     64     7.5   0.2021
July      28 3    0     0     64     7.5   0.19941
July      28 4    0     0     64     7.5   0.19669
July      28 5    0     0     64     7.5   0.18965
July      28 6    0     0     64     7.5   0.19548
July      28 7    0     0     64     7.5   0.20431
July      28 8    0     5.5   58.5   0     0.20305
July      28 9    0     0     58.5   0     0.20005
July      28 10   0     0     58.5   0     0.20657
July      28 11   0     0     58.5   0     0.20992
July      28 12   0     0     58.5   0     0.20998
July      28 13   0     0     58.5   0     0.20997
July      28 14   0     0     58.5   0     0.19719
July      28 15   0     0     58.5   0     0.20425
July      28 16   0     0     58.5   0     0.20009
July      28 17   0     5.5   53     0     0.20573
July      28 18   0     0     53     7.5   0.21449
July      28 19   0     0     53     7.5   0.22097
July      28 20   0     0     53     7.5   0.22096
July      28 21   0     0     53     7.5   0.21491
July      28 22   0     0     53     7.5   0.21283
July      28 23   3.5   0     56.5   7.5   0.20725
July      28 24   7.5   0     64     7.5   0.20286
July      29 1    0     0     64     7.5   0.21021
July      29 2    0     0     64     7.5   0.20811
July      29 3    0     0     64     7.5   0.20789
July      29 4    0     0     64     7.5   0.20763
July      29 5    0     0     64     7.5   0.20739
July      29 6    0     0     64     7.5   0.20762
July      29 7    0     0     64     7.5   0.20742
July      29 8    0     5.5   58.5   0     0.21324
July      29 9    0     0     58.5   0     0.21715
July      29 10   0     0     58.5   0     0.21611
July      29 11   0     0     58.5   0     0.21488
July      29 12   0     0     58.5   0     0.21407
July      29 13   0     0     58.5   0     0.21431
July      29 14   0     0     58.5   0     0.21235
July      29 15   0     0     58.5   0     0.21326
July      29 16   0     0     58.5   0     0.2127
July      29 17   0     5.5   53     0     0.21299
July      29 18   0     0     53     7.5   0.21605
July      29 19   0     0     53     7.5   0.21955
July      29 20   0     0     53     7.5   0.21533
July      29 21   0     0     53     7.5   0.2104
July      29 22   0     0     53     7.5   0.20767
July      29 23   7.5   0     60.5   7.5   0.20751
July      29 24   3.5   0     64     7.5   0.20758
July      30 1    0     0     64     7.5   0.21331
July      30 2    0     0     64     7.5   0.21265
July      30 3    0     0     64     7.5   0.21228
July      30 4    0     0     64     7.5   0.21208
July      30 5    0     0     64     7.5   0.21084
July      30 6    0     0     64     7.5   0.21008
July      30 7    0     0     64     7.5   0.21017
July      30 8    0     0     64     7.5   0.20952
July      30 9    0     0     64     7.5   0.21218
July      30 10   0     0     64     7.5   0.21259
July      30 11   0     0     64     7.5   0.21298
July      30 12   0     0     64     7.5   0.21307
July      30 13   0     0     64     7.5   0.2129
July      30 14   0     0     64     7.5   0.21269
July      30 15   0     0     64     7.5   0.21251
July      30 16   0     0     64     7.5   0.21244
July      30 17   0     0     64     7.5   0.21258
July      30 18   0     0     64     7.5   0.21277
July      30 19   0     0     64     7.5   0.21378
July      30 20   0     0     64     7.5   0.21337
July      30 21   0     0     64     7.5   0.21231
July      30 22   0     0     64     7.5   0.21223
July      30 23   0     0     64     7.5   0.2122
July      30 24   0     0     64     7.5   0.2124
July      31 1    0     0     64     7.5   0.21615
July      31 2    0     0     64     7.5   0.2159
July      31 3    0     0     64     7.5   0.21552
July      31 4    0     0     64     7.5   0.21531
July      31 5    0     0     64     7.5   0.21508
July      31 6    0     0     64     7.5   0.21433
July      31 7    0     0     64     7.5   0.21194
July      31 8    0     0     64     7.5   0.21192
July      31 9    0     0     64     7.5   0.21504
July      31 10   0     0     64     7.5   0.21512
July      31 11   0     0     64     7.5   0.216
July      31 12   0     0     64     7.5   0.21634
July      31 13   0     0     64     7.5   0.21653
July      31 14   0     0     64     7.5   0.21656
July      31 15   0     0     64     7.5   0.21105
July      31 16   0     0     64     7.5   0.21656
July      31 17   0     0     64     7.5   0.21616
July      31 18   0     0     64     7.5   0.21613
July      31 19   0     0     64     7.5   0.21731
July      31 20   0     0     64     7.5   0.218
July      31 21   0     0     64     7.5   0.21637
July      31 22   0     0     64     7.5   0.21621
July      31 23   0     0     64     7.5   0.21609
July      31 24   0     0     64     7.5   0.21609
August    1  1    0     0     64     7.5   0.22091
August    1  2    0     0     64     7.5   0.21896
August    1  3    0     0     64     7.5   0.21849
August    1  4    0     0     64     7.5   0.21827
August    1  5    0     0     64     7.5   0.21814
August    1  6    0     0     64     7.5   0.21892
August    1  7    0     0     64     7.5   0.21989
August    1  8    0     5.5   58.5   0     0.21866
August    1  9    0     0     58.5   0     0.22262
August    1  10   0     0     58.5   0     0.22733
August    1  11   0     0     58.5   0     0.23232
August    1  12   0     0     58.5   0     0.22798
August    1  13   0     0     58.5   0     0.22785
August    1  14   0     0     58.5   0     0.22635
August    1  15   0     0     58.5   0     0.2235
August    1  16   0     0     58.5   0     0.2185
August    1  17   0     5.5   53     0     0.21872
August    1  18   0     0     53     7.5   0.22507
August    1  19   0     0     53     7.5   0.22329
August    1  20   0     0     53     7.5   0.22105
August    1  21   0     0     53     7.5   0.22095
August    1  22   0     0     53     7.5   0.22096
August    1  23   0     0     53     7.5   0.22083
August    1  24   3.8   0     56.8   7.5   0.21948
August    2  1    0     0     56.8   7.5   0.25101
August    2  2    0     0     56.8   7.5   0.23283
August    2  3    0     0     56.8   7.5   0.22993
August    2  4    0     0     56.8   7.5   0.22927
August    2  5    0     0     56.8   7.5   0.22903
August    2  6    0     0     56.8   7.5   0.23171
August    2  7    0     0     56.8   7.5   0.25002
August    2  8    0     5.5   51.3   0     0.23881
August    2  9    0     0     51.3   0     0.26501
August    2  10   0     0     51.3   0     0.27392
August    2  11   0     0     51.3   0     0.27001
August    2  12   0     0     51.3   0     0.24318
August    2  13   0     0     51.3   0     0.22759
August    2  14   0     0     51.3   0     0.21811
August    2  15   0     0     51.3   0     0.19224
August    2  16   0     0     51.3   0     0.19815
August    2  17   0     5.5   45.8   0     0.22208
August    2  18   0     0     45.8   7.5   0.23279
August    2  19   0     0     45.8   7.5   0.25008
August    2  20   0     0     45.8   7.5   0.23888
August    2  21   0     0     45.8   7.5   0.23581
August    2  22   0     0     45.8   7.5   0.23709
August    2  23   0     0     45.8   7.5   0.23287
August    2  24   0     0     45.8   7.5   0.22803
August    3  1    0     0     45.8   7.5   0.24812
August    3  2    0     0     45.8   7.5   0.24801
August    3  3    0     0     45.8   7.5   0.248
August    3  4    0     0     45.8   7.5   0.24621
August    3  5    0     0     45.8   7.5   0.24174
August    3  6    0     0     45.8   7.5   0.24055
August    3  7    0     0     45.8   7.5   0.24103
August    3  8    0     5.5   40.3   0     0.23927
August    3  9    0     0     40.3   0     0.27597
August    3  10   0     0     40.3   0     0.26878
August    3  11   0     0     40.3   0     0.23575
August    3  12   0     0     40.3   0     0.18486
August    3  13   0     0     40.3   0     0.20885
August    3  14   0     0     40.3   0     0.18459
August    3  15   0     0     40.3   0     0.22201
August    3  16   0     0     40.3   0     0.23638
August    3  17   0     5.5   34.8   0     0.23687
August    3  18   0     0     34.8   7.5   0.23798
August    3  19   0     0     34.8   7.5   0.23925
August    3  20   0     0     34.8   7.5   0.23877
August    3  21   0     0     34.8   7.5   0.23861
August    3  22   0     0     34.8   7.5   0.24395
August    3  23   0     0     34.8   7.5   0.24268
August    3  24   0     0     34.8   7.5   0.23896
August    4  1    0     0     34.8   7.5   0.23539
August    4  2    0     0     34.8   7.5   0.2326
August    4  3    0     0     34.8   7.5   0.23204
August    4  4    0     0     34.8   7.5   0.23175
August    4  5    0     0     34.8   7.5   0.23163
August    4  6    0     0     34.8   7.5   0.23283
August    4  7    0     0     34.8   7.5   0.23654
August    4  8    0     5.5   29.3   0     0.24237
August    4  9    0     0     29.3   0     0.24747
August    4  10   0     0     29.3   0     0.24992
August    4  11   0     0     29.3   0     0.24996
August    4  12   0     0     29.3   0     0.24993
August    4  13   0     0     29.3   0     0.24007
August    4  14   0     0     29.3   0     0.23578
August    4  15   0     0     29.3   0     0.23345
August    4  16   0     0     29.3   0     0.23951
August    4  17   0     5.5   23.8   0     0.24995
August    4  18   0     0     23.8   7.5   0.24999
August    4  19   0     0     23.8   7.5   0.24996
August    4  20   0     0     23.8   7.5   0.25025
August    4  21   0     0     23.8   7.5   0.25043
August    4  22   0     0     23.8   7.5   0.24998
August    4  23   0     0     23.8   7.5   0.24612
August    4  24   0     0     23.8   7.5   0.23747
August    5  1    0     0     23.8   7.5   0.2339
August    5  2    0     0     23.8   7.5   0.22999
August    5  3    0     0     23.8   7.5   0.22972
August    5  4    0     0     23.8   7.5   0.22964
August    5  5    0     0     23.8   7.5   0.22968
August    5  6    0     0     23.8   7.5   0.23121
August    5  7    0     0     23.8   7.5   0.23625
August    5  8    0     5.5   18.3   0     0.23763
August    5  9    0     0     18.3   0     0.23885
August    5  10   0     0     18.3   0     0.23961
August    5  11   0     0     18.3   0     0.24161
August    5  12   0     0     18.3   0     0.23907
August    5  13   0     0     18.3   0     0.23936
August    5  14   0     0     18.3   0     0.23916
August    5  15   0     0     18.3   0     0.23899
August    5  16   0     0     18.3   0     0.23674
August    5  17   0     5.5   12.8   0     0.23752
August    5  18   0     0     12.8   7.5   0.23798
August    5  19   0     0     12.8   7.5   0.23776
August    5  20   0     0     12.8   7.5   0.23797
August    5  21   0     0     12.8   7.5   0.23765
August    5  22   0     0     12.8   7.5   0.23841
August    5  23   0     0     12.8   7.5   0.23831
August    5  24   0     0     12.8   7.5   0.23672
August    6  1    0     0     12.8   7.5   0.22869
August    6  2    0     0     12.8   7.5   0.22929
August    6  3    0     0     12.8   7.5   0.22699
August    6  4    0     0     12.8   7.5   0.22567
August    6  5    0     0     12.8   7.5   0.2248
August    6  6    0     0     12.8   7.5   0.22458
August    6  7    0     0     12.8   7.5   0.22714
August    6  8    0     0     12.8   7.5   0.22734
August    6  9    0     0     12.8   7.5   0.23009
August    6  10   0     0     12.8   7.5   0.22808
August    6  11   0     0     12.8   7.5   0.22128
August    6  12   0     0     12.8   7.5   0.18618
August    6  13   7.5   0     20.3   7.5   0.14232
August    6  14   7.5   0     27.8   7.5   0.14237
August    6  15   7.5   0     35.3   7.5   0.13069
August    6  16   7.5   0     42.8   7.5   0.13977
August    6  17   0     0     42.8   7.5   0.18673
August    6  18   0     0     42.8   7.5   0.23002
August    6  19   0     0     42.8   7.5   0.23637
August    6  20   0     0     42.8   7.5   0.23629
August    6  21   0     0     42.8   7.5   0.23589
August    6  22   0     0     42.8   7.5   0.23516
August    6  23   0     0     42.8   7.5   0.23545
August    6  24   0     0     42.8   7.5   0.23406
August    7  1    0     0     42.8   7.5   0.24514
August    7  2    0     0     42.8   7.5   0.23393
August    7  3    0     0     42.8   7.5   0.22526
August    7  4    0     0     42.8   7.5   0.2064
August    7  5    0     0     42.8   7.5   0.20047
August    7  6    0     0     42.8   7.5   0.20523
August    7  7    0     0     42.8   7.5   0.205
August    7  8    0     0     42.8   7.5   0.20629
August    7  9    0     0     42.8   7.5   0.16227
August    7  10   6.2   0     49     7.5   0.14557
August    7  11   7.5   0     56.5   7.5   0.10438
August    7  12   7.5   0     64     7.5   0.13445
August    7  13   0     0     64     7.5   0.19358
August    7  14   0     0     64     7.5   0.22208
August    7  15   0     0     64     7.5   0.21877
August    7  16   0     0     64     7.5   0.18139
August    7  17   0     0     64     7.5   0.17254
August    7  18   0     0     64     7.5   0.22619
August    7  19   0     0     64     7.5   0.24906
August    7  20   0     0     64     7.5   0.26445
August    7  21   0     0     64     7.5   0.2799
August    7  22   0     0     64     7.5   0.27778
August    7  23   0     0     64     7.5   0.27574
August    7  24   0     0     64     7.5   0.25321
August    8  1    0     0     64     7.5   0.24512
August    8  2    0     0     64     7.5   0.23902
August    8  3    0     0     64     7.5   0.23782
August    8  4    0     0     64     7.5   0.23637
August    8  5    0     0     64     7.5   0.23734
August    8  6    0     0     64     7.5   0.23931
August    8  7    0     0     64     7.5   0.26778
August    8  8    0     5.5   58.5   0     0.29243
August    8  9    0     0     58.5   0     0.33495
August    8  10   0     0     58.5   0     0.31002
August    8  11   0     0     58.5   0     0.30041
August    8  12   0     0     58.5   0     0.29755
August    8  13   0     0     58.5   0     0.28479
August    8  14   0     0     58.5   0     0.28199
August    8  15   0     0     58.5   0     0.28097
August    8  16   0     0     58.5   0     0.28292
August    8  17   0     5.5   53     0     0.28779
August    8  18   0     0     53     7.5   0.28784
August    8  19   0     0     53     7.5   0.27718
August    8  20   0     0     53     7.5   0.27502
August    8  21   0     0     53     7.5   0.275
August    8  22   0     0     53     7.5   0.28871
August    8  23   0     0     53     7.5   0.2726
August    8  24   7.5   0     60.5   7.5   0.24561
August    9  1    0     0     60.5   7.5   0.26494
August    9  2    0     0     60.5   7.5   0.26062
August    9  3    0     0     60.5   7.5   0.25953
August    9  4    0     0     60.5   7.5   0.25391
August    9  5    0     0     60.5   7.5   0.25504
August    9  6    0     0     60.5   7.5   0.26012
August    9  7    0     0     60.5   7.5   0.26055
August    9  8    0     5.5   55     0     0.27449
August    9  9    0     0     55     0     0.29508
August    9  10   0     0     55     0     0.30687
August    9  11   0     0     55     0     0.30265
August    9  12   0     0     55     0     0.27566
August    9  13   0     0     55     0     0.27091
August    9  14   0     0     55     0     0.25894
August    9  15   0     0     55     0     0.26064
August    9  16   0     0     55     0     0.26049
August    9  17   0     5.5   49.5   0     0.27294
August    9  18   0     0     49.5   7.5   0.27499
August    9  19   0     0     49.5   7.5   0.27366
August    9  20   0     0     49.5   7.5   0.27447
August    9  21   0     0     49.5   7.5   0.26277
August    9  22   0     0     49.5   7.5   0.26296
August    9  23   0     0     49.5   7.5   0.26208
August    9  24   0     0     49.5   7.5   0.26053
August    10 1    0     0     49.5   7.5   0.25453
August    10 2    0     0     49.5   7.5   0.25273
August    10 3    0     0     49.5   7.5   0.25244
August    10 4    0     0     49.5   7.5   0.25235
August    10 5    0     0     49.5   7.5   0.25239
August    10 6    0     0     49.5   7.5   0.25202
August    10 7    0     0     49.5   7.5   0.25714
August    10 8    0     5.5   44     0     0.26525
August    10 9    0     0     44     0     0.27127
August    10 10   0     0     44     0     0.28495
August    10 11   0     0     44     0     0.29334
August    10 12   0     0     44     0     0.2849
August    10 13   0     0     44     0     0.27423
August    10 14   0     0     44     0     0.25352
August    10 15   0     0     44     0     0.25448
August    10 16   0     0     44     0     0.26343
August    10 17   0     5.5   38.5   0     0.26317
August    10 18   0     0     38.5   7.5   0.26329
August    10 19   0     0     38.5   7.5   0.26328
August    10 20   0     0     38.5   7.5   0.26253
August    10 21   0     0     38.5   7.5   0.26213
August    10 22   0     0     38.5   7.5   0.26303
August    10 23   0     0     38.5   7.5   0.26062
August    10 24   0     0     38.5   7.5   0.25712
August    11 1    0     0     38.5   7.5   0.25177
August    11 2    0     0     38.5   7.5   0.24911
August    11 3    0     0     38.5   7.5   0.24798
August    11 4    2.5   0     41     7.5   0.2479
August    11 5    7.5   0     48.5   7.5   0.24788
August    11 6    0     0     48.5   7.5   0.24879
August    11 7    0     0     48.5   7.5   0.2563
August    11 8    0     5.5   43     0     0.26127
August    11 9    0     0     43     0     0.26088
August    11 10   0     0     43     0     0.25967
August    11 11   0     0     43     0     0.25988
August    11 12   0     0     43     0     0.26247
August    11 13   0     0     43     0     0.2621
August    11 14   0     0     43     0     0.26072
August    11 15   0     0     43     0     0.26499
August    11 16   0     0     43     0     0.26154
August    11 17   0     5.5   37.5   0     0.2609
August    11 18   0     0     37.5   7.5   0.26398
August    11 19   0     0     37.5   7.5   0.2623
August    11 20   0     0     37.5   7.5   0.26102
August    11 21   0     0     37.5   7.5   0.25773
August    11 22   0     0     37.5   7.5   0.2582
August    11 23   0     0     37.5   7.5   0.25664
August    11 24   0     0     37.5   7.5   0.26644
August    12 1    0     0     37.5   7.5   0.26491
August    12 2    0     0     37.5   7.5   0.25776
August    12 3    0     0     37.5   7.5   0.25446
August    12 4    0     0     37.5   7.5   0.25324
August    12 5    0     0     37.5   7.5   0.25515
August    12 6    0     0     37.5   7.5   0.25995
August    12 7    0     0     37.5   7.5   0.26493
August    12 8    0     5.5   32     0     0.31406
August    12 9    0     0     32     0     0.34524
August    12 10   0     0     32     0     0.35416
August    12 11   0     0     32     0     0.35116
August    12 12   0     0     32     0     0.32183
August    12 13   0     0     32     0     0.29416
August    12 14   0     0     32     0     0.28993
August    12 15   0     0     32     0     0.28749
August    12 16   0     0     32     0     0.25997
August    12 17   0     5.5   26.5   0     0.26492
August    12 18   0     0     26.5   7.5   0.26295
August    12 19   0     0     26.5   7.5   0.25913
August    12 20   0     0     26.5   7.5   0.2633
August    12 21   0     0     26.5   7.5   0.25813
August    12 22   0     0     26.5   7.5   0.26405
August    12 23   0     0     26.5   7.5   0.25999
August    12 24   0     0     26.5   7.5   0.24797
August    13 1    0     0     26.5   7.5   0.27166
August    13 2    0     0     26.5   7.5   0.25902
August    13 3    0     0     26.5   7.5   0.25786
August    13 4    0     0     26.5   7.5   0.25716
August    13 5    0     0     26.5   7.5   0.25705
August    13 6    0     0     26.5   7.5   0.25768
August    13 7    0     0     26.5   7.5   0.25414
August    13 8    0     0     26.5   7.5   0.25353
August    13 9    0     0     26.5   7.5   0.25299
August    13 10   0     0     26.5   7.5   0.25872
August    13 11   0     0     26.5   7.5   0.26423
August    13 12   0     0     26.5   7.5   0.26799
August    13 13   0     0     26.5   7.5   0.25341
August    13 14   7.5   0     34     7.5   0.23685
August    13 15   0     0     34     7.5   0.25236
August    13 16   0     0     34     7.5   0.2552
August    13 17   0     0     34     7.5   0.25759
August    13 18   0     0     34     7.5   0.26496
August    13 19   0     0     34     7.5   0.26563
August    13 20   0     0     34     7.5   0.26491
August    13 21   0     0     34     7.5   0.25946
August    13 22   0     0     34     7.5   0.27391
August    13 23   0     0     34     7.5   0.26358
August    13 24   0     0     34     7.5   0.2651
August    14 1    0     0     34     7.5   0.26956
August    14 2    0     0     34     7.5   0.26586
August    14 3    0     0     34     7.5   0.26429
August    14 4    0     0     34     7.5   0.26277
August    14 5    0     0     34     7.5   0.26214
August    14 6    0     0     34     7.5   0.26321
August    14 7    0     0     34     7.5   0.26178
August    14 8    0     0     34     7.5   0.24998
August    14 9    0     0     34     7.5   0.25922
August    14 10   0     0     34     7.5   0.24999
August    14 11   0     0     34     7.5   0.26092
August    14 12   0     0     34     7.5   0.24958
August    14 13   7.5   0     41.5   7.5   0.23842
August    14 14   7.5   0     49     7.5   0.2381
August    14 15   7.5   0     56.5   7.5   0.23872
August    14 16   7.5   0     64     7.5   0.24015
August    14 17   0     0     64     7.5   0.26169
August    14 18   0     0     64     7.5   0.27417
August    14 19   0     0     64     7.5   0.2742
August    14 20   0     0     64     7.5   0.27239
August    14 21   0     0     64     7.5   0.2686
August    14 22   0     0     64     7.5   0.26729
August    14 23   0     0     64     7.5   0.26241
August    14 24   0     0     64     7.5   0.26811
August    15 1    0     0     64     7.5   0.29488
August    15 2    0     0     64     7.5   0.28239
August    15 3    0     0     64     7.5   0.279
August    15 4    0     0     64     7.5   0.27749
August    15 5    0     0     64     7.5   0.27759
August    15 6    0     0     64     7.5   0.2824
August    15 7    0     0     64     7.5   0.28069
August    15 8    0     5.5   58.5   0     0.27992
August    15 9    0     0     58.5   0     0.28548
August    15 10   0     0     58.5   0     0.27994
August    15 11   0     0     58.5   0     0.27674
August    15 12   0     0     58.5   0     0.27979
August    15 13   0     0     58.5   0     0.27853
August    15 14   0     0     58.5   0     0.27854
August    15 15   0     0     58.5   0     0.28465
August    15 16   0     0     58.5   0     0.27997
August    15 17   0     5.5   53     0     0.28029
August    15 18   0     0     53     7.5   0.28229
August    15 19   0     0     53     7.5   0.28245
August    15 20   0     0     53     7.5   0.27995
August    15 21   0     0     53     7.5   0.27999
August    15 22   0     0     53     7.5   0.27982
August    15 23   0     0     53     7.5   0.27964
August    15 24   0     0     53     7.5   0.28229
August    16 1    0     0     53     7.5   0.29433
August    16 2    0     0     53     7.5   0.2803
August    16 3    0     0     53     7.5   0.27616
August    16 4    0     0     53     7.5   0.27312
August    16 5    0     0     53     7.5   0.27039
August    16 6    0     0     53     7.5   0.27519
August    16 7    0     0     53     7.5   0.26989
August    16 8    0     5.5   47.5   0     0.26983
August    16 9    0     0     47.5   0     0.26989
August    16 10   0     0     47.5   0     0.26985
August    16 11   0     0     47.5   0     0.27394
August    16 12   0     0     47.5   0     0.27414
August    16 13   0     0     47.5   0     0.27546
August    16 14   0     0     47.5   0     0.27522
August    16 15   0     0     47.5   0     0.27402
August    16 16   0     0     47.5   0     0.27168
August    16 17   0     5.5   42     0     0.27404
August    16 18   0     0     42     7.5   0.27322
August    16 19   2.5   0     44.5   7.5   0.2685
August    16 20   7.5   0     52     7.5   0.26706
August    16 21   7.5   0     59.5   7.5   0.26762
August    16 22   0     0     59.5   7.5   0.26983
August    16 23   0     0     59.5   7.5   0.27052
August    16 24   0     0     59.5   7.5   0.27063
August    17 1    0     0     59.5   7.5   0.29895
August    17 2    0     0     59.5   7.5   0.28913
August    17 3    0     0     59.5   7.5   0.28475
August    17 4    0     0     59.5   7.5   0.28471
August    17 5    0     0     59.5   7.5   0.2792
August    17 6    0     0     59.5   7.5   0.28197
August    17 7    0     0     59.5   7.5   0.27977
August    17 8    0     5.5   54     0     0.28426
August    17 9    0     0     54     0     0.2967
August    17 10   0     0     54     0     0.2955
August    17 11   0     0     54     0     0.30109
August    17 12   0     0     54     0     0.30181
August    17 13   0     0     54     0     0.30147
August    17 14   0     0     54     0     0.30128
August    17 15   0     0     54     0     0.30115
August    17 16   0     0     54     0     0.29705
August    17 17   0     5.5   48.5   0     0.30036
August    17 18   0     0     48.5   7.5   0.30002
August    17 19   0     0     48.5   7.5   0.29318
August    17 20   0     0     48.5   7.5   0.28917
August    17 21   0     0     48.5   7.5   0.28472
August    17 22   0     0     48.5   7.5   0.28919
August    17 23   0     0     48.5   7.5   0.28917
August    17 24   0     0     48.5   7.5   0.28918
August    18 1    0     0     48.5   7.5   0.29472
August    18 2    0     0     48.5   7.5   0.28914
August    18 3    0     0     48.5   7.5   0.28821
August    18 4    0     0     48.5   7.5   0.28706
August    18 5    0     0     48.5   7.5   0.28724
August    18 6    0     0     48.5   7.5   0.29315
August    18 7    0     0     48.5   7.5   0.31677
August    18 8    0     5.5   43     0     0.32504
August    18 9    0     0     43     0     0.3251
August    18 10   0     0     43     0     0.3251
August    18 11   0     0     43     0     0.32553
August    18 12   0     0     43     0     0.32508
August    18 13   0     0     43     0     0.32507
August    18 14   0     0     43     0     0.32507
August    18 15   0     0     43     0     0.32507
August    18 16   0     0     43     0     0.32501
August    18 17   0     5.5   37.5   0     0.33263
August    18 18   0     0     37.5   7.5   0.33963
August    18 19   0     0     37.5   7.5   0.33865
August    18 20   0     0     37.5   7.5   0.33763
August    18 21   0     0     37.5   7.5   0.33852
August    18 22   0     0     37.5   7.5   0.3462
August    18 23   0     0     37.5   7.5   0.33502
August    18 24   0     0     37.5   7.5   0.33018
August    19 1    0     0     37.5   7.5   0.33969
August    19 2    0     0     37.5   7.5   0.33381
August    19 3    0     0     37.5   7.5   0.33123
August    19 4    0     0     37.5   7.5   0.3373
August    19 5    0     0     37.5   7.5   0.33755
August    19 6    0     0     37.5   7.5   0.34787
August    19 7    0     0     37.5   7.5   0.35987
August    19 8    0     5.5   32     0     0.37384
August    19 9    0     0     32     0     0.44569
August    19 10   0     0     32     0     0.39592
August    19 11   0     0     32     0     0.38411
August    19 12   0     0     32     0     0.39415
August    19 13   0     0     32     0     0.42617
August    19 14   0     0     32     0     0.47408
August    19 15   0     0     32     0     0.44777
August    19 16   0     0     32     0     0.35993
August    19 17   0     5.5   26.5   0     0.39597
August    19 18   0     0     26.5   7.5   0.36173
August    19 19   0     0     26.5   7.5   0.35995
August    19 20   0     0     26.5   7.5   0.35904
August    19 21   0     0     26.5   7.5   0.35909
August    19 22   0     0     26.5   7.5   0.35803
August    19 23   0     0     26.5   7.5   0.35425
August    19 24   0     0     26.5   7.5   0.35196
August    20 1    0     0     26.5   7.5   0.37059
August    20 2    0     0     26.5   7.5   0.36382
August    20 3    0     0     26.5   7.5   0.35834
August    20 4    0     0     26.5   7.5   0.35696
August    20 5    0     0     26.5   7.5   0.35602
August    20 6    0     0     26.5   7.5   0.358
August    20 7    0     0     26.5   7.5   0.35738
August    20 8    0     0     26.5   7.5   0.36294
August    20 9    0     0     26.5   7.5   0.36507
August    20 10   0     0     26.5   7.5   0.37596
August    20 11   0     0     26.5   7.5   0.39356
August    20 12   0     0     26.5   7.5   0.38915
August    20 13   0     0     26.5   7.5   0.37509
August    20 14   0     0     26.5   7.5   0.35978
August    20 15   0     0     26.5   7.5   0.3492
August    20 16   0     0     26.5   7.5   0.34637
August    20 17   0     0     26.5   7.5   0.35003
August    20 18   0     0     26.5   7.5   0.36145
August    20 19   0     0     26.5   7.5   0.35686
August    20 20   0     0     26.5   7.5   0.35564
August    20 21   0     0     26.5   7.5   0.35739
August    20 22   0     0     26.5   7.5   0.37003
August    20 23   0     0     26.5   7.5   0.36509
August    20 24   0     0     26.5   7.5   0.36687
August    21 1    0     0     26.5   7.5   0.37229
August    21 2    0     0     26.5   7.5   0.36919
August    21 3    0     0     26.5   7.5   0.36385
August    21 4    0     0     26.5   7.5   0.33527
August    21 5    0     0     26.5   7.5   0.31363
August    21 6    0     0     26.5   7.5   0.31467
August    21 7    0     0     26.5   7.5   0.35465
August    21 8    0     0     26.5   7.5   0.33888
August    21 9    0     0     26.5   7.5   0.34065
August    21 10   0     0     26.5   7.5   0.32741
August    21 11   7.5   0     34     7.5   0.26266
August    21 12   7.5   0     41.5   7.5   0.18254
August    21 13   7.5   0     49     7.5   0.1951
August    21 14   7.5   0     56.5   7.5   0.16501
August    21 15   7.5   0     64     7.5   0.17381
August    21 16   0     0     64     7.5   0.33004
August    21 17   0     0     64     7.5   0.36603
August    21 18   0     0     64     7.5   0.37214
August    21 19   0     0     64     7.5   0.37302
August    21 20   0     0     64     7.5   0.3733
August    21 21   0     0     64     7.5   0.37348
August    21 22   0     0     64     7.5   0.37398
August    21 23   0     0     64     7.5   0.3744
August    21 24   0     0     64     7.5   0.37392
August    22 1    0     0     64     7.5   0.36986
August    22 2    0     0     64     7.5   0.36797
August    22 3    0     0     64     7.5   0.3671
August    22 4    0     0     64     7.5   0.36656
August    22 5    0     0     64     7.5   0.36693
August    22 6    0     0     64     7.5   0.36892
August    22 7    0     0     64     7.5   0.37461
August    22 8    0     5.5   58.5   0     0.4048
August    22 9    0     0     58.5   0     0.41991
August    22 10   0     0     58.5   0     0.41856
August    22 11   0     0     58.5   0     0.40099
August    22 12   0     0     58.5   0     0.40963
August    22 13   0     0     58.5   0     0.41069
August    22 14   0     0     58.5   0     0.40014
August    22 15   0     0     58.5   0     0.39991
August    22 16   0     0     58.5   0     0.39991
August    22 17   0     5.5   53     0     0.39966
August    22 18   0     0     53     7.5   0.39937
August    22 19   0     0     53     7.5   0.39701
August    22 20   0     0     53     7.5   0.39802
August    22 21   0     0     53     7.5   0.4084
August    22 22   0     0     53     7.5   0.42996
August    22 23   0     0     53     7.5   0.39941
August    22 24   7.5   0     60.5   7.5   0.38912
August    23 1    0     0     60.5   7.5   0.40339
August    23 2    0     0     60.5   7.5   0.39679
